sample_id,nhle_list_entry,geographic_group_id,terrain_provenance_id,survey_year,source_resolution_m,processing_version,patch_size_m,acquisition_status,raw_qa_status,representation_qa_status,representations,qa_status,raw_sha256,patch_sha256,processed_sha256,cross_cell,overlap_group_id
E001P-86397d907061,1012100,BNG_100KM_E4_N4,EAP-d85b0f0821f9,2018,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,aac3c6daf4ca16e469587c3ce49a174c27020a9f42465e7ca4e6a64fb9faf8ce,f6990696d8cadf768fcc5376bfbcb789608f7bfd19594438b80a7fa74f03f13b,38d70c00d666bdd27d26dd5b3c52782625c55101e651e148f990626a29919a08,False,
E001P-8914a8fae3e9,1009480,BNG_100KM_E5_N1,EAP-71ad6a50942e,2021,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,3e4bd38e5e162a511cd3b5f795fb3d9105c037ad51df3ff577836730f0a2bbc2,03f663990544d7c6ba8e9fa601488e3532e1185d79e108a9cb0c0a155b98e9f6,efd8d3ae805eaf15d3b9b942c2f7d025a8308d53f6cc01c3ffc4587cb20abff9,False,
E001P-89e1106f0180,1010561,BNG_100KM_E5_N3,EAP-d85b0f0821f9,2018,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,6fabb4d866dc5d27a0818345b0dcebf7ac5e06605dc6e83b3751c68fd0140e80,71455e0a46c6ad0c2cd483294b9a5e0ca6fa6b34e4481ce714f3512df56f3741,fac74642dd1714485be6ceddf41b7f96617917f30b3eb425c17ffd73adc98373,False,
E001P-8a576a7aa52a,1007354,BNG_100KM_E6_N2,EAP-d85b0f0821f9,2018,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,9feedc855edc6dc0de52e189a888bc10cb74f8c8277f22ef4ac19a74c87e2b81,f029aa42d6393e1954b051d29588df77e06f7b7541ac24d876cda678bd349b27,ab617b23d1f82b0f8b80d4f2864ea4ef940d724d176feffd12fa34ad563996ab,False,
E001P-8a5f8eee2627,1016643,BNG_100KM_E2_N1,EAP-71ad6a50942e,2021,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,d3af23c64cbd6151ef5f72cc01dd311e84f4cf7a541fd07b44f2eee428c29dbb,d638df038ba99a2374045c373f58d470d577c8de482b3458cfe4b9a5b0429f61,7f7b13172a56a5ee63550af8c7240fc34b519dc9dd90573ed1fd484513e10827,False,
E001P-8a6edde9f5f0,1021316,BNG_100KM_E5_N3,EAP-d3a871d4f09e,2019,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,317d2ce6105e09f462985dd60dcf814d38889bf92f948d4117c2a565b6028907,4d9af36055ca4029b6f07b1b057c377097ea0f1fac6a609b06d3fb2c85b52aaa,1d4134fbe3c6accdd1d3ae226b8ab6dae5fdc8085ed0c7ced65fe4eb9c13c6ad,False,
E001P-8bbe430082f9,1016092,BNG_100KM_E4_N0,EAP-d85b0f0821f9,2018,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,e9b89f97352d126404f72a7dbae504d54cc6a47c203641aa331fa7f0e354ce9b,27642d4a8f0b8d98b45019c2148f4d3fd0e6978030517f495577dfa3afa0c1e3,dd09f67795f49ad8bc147e109673214319d51717aaa61b40d0e19966abd9c529,False,
E001P-8ea850b4b7ec,1017078,BNG_100KM_E3_N2,EAP-d3a871d4f09e,2019,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,a3bacc7be20f3422eb1c73e1e1c570d08e2e64cf179eb1423e358611a079bdd9,29a2aea5f92dce2f189dd3d681238e65f80bcc24b3788960b945a454aa05b893,0d885a388666011eb2cc3c124f19354daee7e3e04e0c9222b8892c818f04f655,False,
E001P-905ff0dc5816,1008004,BNG_100KM_E4_N3,EAP-c590a5cb0139,2020,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,105d1a15338ed729a3f765949e45cce849ed67424b0cbc3aded10c9241b3ccc1,af337d57768113afb1501f11ed90780d2a119f7fcce8aa80ee64c039058df06d,cef55ff5b04aee2e922b34f20ef23f3942d32bb512189f7bee22973602df45a3,False,
E001P-90b88f74492d,1016837,BNG_100KM_E4_N2,EAP-c590a5cb0139,2020,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,3f461837c84c8c28e01e9c932dbfd0cae47836dd2c31ec4cb4129b883eb55cdf,1edf4bf8ac730e8f31d37aa2f6574888f49d910b760aff4c3e385f850a6eb567,9a8fa110b1b336481a9cee01fe00996a052799895285339bd203add431406cb8,False,
E001P-92143d5878a3,1016529,BNG_100KM_E4_N2,EAP-c590a5cb0139,2020,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,c6cecabf1752cfd1aa946d7fbb3956af90cc5b0353a0a1c4fc260f2cf42621f1,db51ce1022774cd8d22ac98d41f1cfba02f7980c9e00467d8c0e0ba3b34a7878,576bfd4cdc24f2da3d10deb74bbecf984549dbfeca925352ff92042cd37cf632,False,
E001P-92891941774d,1008923,BNG_100KM_E4_N4,EAP-d85b0f0821f9,2018,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,d9476951689673d6bb912410a77a65d13cb6369eee7ebe3a6a90cecf1d254986,bd7cb185c1a55b654f9f3eace718def4922257059c32d62788329f7f177ff768,42d8c65670288c65e4d7590a0c29d359907f6ad5e1c0448fea45c6827b1d60bd,False,
E001P-9373abefa18c,1020068,BNG_100KM_E2_N0,EAP-71ad6a50942e,2021,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,502e77e75a78af589ae1047b05fd8fcc52c51a81b21cbbcddd1ece1acb6453f0,83d1416eef31d526641632a5b591a223a4ec0932ce999c010321ad4a0cfb895b,c2595765cd3a197e731791117f60e8bf369318edf4eef673774026ccd9419fdf,False,
E001P-93c43fb91947,1013853,BNG_100KM_E4_N4,EAP-d85b0f0821f9,2018,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,f550cd5c637679810e5901de9bbf92fb19188b0fa30b9c80670c363c052a5624,0126ac7b572a612805e175afcec7fc517bdfa50721f0ea9fe9e00d774da8c7d3,b172bb397ccac0bf0510a8717dd2d92105fcb24fa1a811283206dad7b5802d6b,False,
E001P-93f400cba9e9,1007742,BNG_100KM_E5_N4,EAP-c590a5cb0139,2020,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,b0a4bf429e31304db2147066ef6032f37c97e29dbdaa2d2edd8b32a31ecb73c3,751c52b5e8ede3a8a09b2fcf9d0dfbc7ecb745e4d44bb25152c745c79cda369c,e0356564cc2684d5fe399533bc1220fce04ca9fbd54af5c23fc777da07f89488,False,
E001P-944e996f6a0f,1008912,BNG_100KM_E3_N4,EAP-71ad6a50942e,2021,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,a3111536b3650e423341761b489ddaff6ecb02196050c37dc15c168160ddff84,1eee8f60a1bd9b070fd60070208e2254d7fd972d1b3ef710ca44dd147b009e7f,1182fefb126f260b9335884a9678be02363695ad2b4ba7fe351d5e30d973263f,False,
E001P-948e527497d6,1007738,BNG_100KM_E5_N4,EAP-d85b0f0821f9,2018,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,ebdb5da138a0c2ee8ad7f89706034e60c78130abc8676ba1e7ee4d44ef7defbc,c1a339dcdf13c800bc96a6974d9b38cec82bdb2f1a80d0911351f73b9682d132,9c8aa31313c64c0d259132c268fe9c459b4ff8bbaba61e85486ba62fbe53cb09,False,
E001P-95961326d9fb,1007355,BNG_100KM_E6_N2,EAP-d85b0f0821f9,2018,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,7107aaacad23795856872275009b2941ab93a2a0094d8683f6218c28ba6c742a,db36a9746df67d0d44a95d69458c21b0b339c1519eb649c05eb4dd0ad4ec3da7,fdbd79970a44977e5e12f115bede5ee5f2776dc62f8b97f263cfaf444b97497e,False,
E001P-96316406051d,1015365,BNG_100KM_E3_N0,EAP-71ad6a50942e,2021,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,d6efcd0d69655b0a97ff898e1abff8e1feffc1ce854de55088fb74ac65b1492a,e735b2e2d9effa391b178c8f524b41ac986fa9051584ff154370380716f33005,5ef2036348d7c78865452d48881fde6d0636b0c966b6e52921a33e1034b01157,False,
E001P-96c4037242f3,1007588,BNG_100KM_E3_N5,EAP-71ad6a50942e,2021,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,dcffc20138d3cd2ae25b6d548e4a4af2baa70574d2bcb7dde94619bb54942785,ff7b7d6322e7d328a9e6b6617fcb68f7146ffc4a9f28c12111975ae5c97bfe26,8e954228da7e7fed8d06429ec07dfef4efe9e5ce5a81ea2b6f41e5d102efac7d,False,
E001P-99d3e2abc9cd,1004476,BNG_100KM_E2_N0,EAP-d85b0f0821f9,2018,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,9628bca7a9f4210e772316b81c57a993990c4fee40a91ba5cd0b4c388ec81c0f,4c001c60e2b744261feb6cdb2f3a440b5d7a954a70eebc16fe1490d290db9c48,957e02a8ce6958ffbb8369230347442638eae86cba4fe13f41bcccb0a9c2653a,True,
